_______________________________________________________
id | File Name               | Height | Depth  | Width
___|_________________________|________|________|_______
 0 | ModMBasicBldg.obj       | 59.999 | 42.783 | 48.625
 1 | shopBldg.obj            | 25.000 | 49.193 | 49.999
 2 | cinderBlock.obj         | 2.0000 | 4.0000 | 2.0000
 3 | flowerpot1.obj          | 4.0000 | 1.0000 | 1.0000
 4 | mediumBasicBuilding.obj | 60.000 | 42.783 | 40.000
 5 | sidewalk.obj            | 1.0000 | 5.0000 | 5.0000
 6 | streetlight.obj         | 25.125 | 2.0000 | 11.498
 7 | table.obj               | 5.1250 | 10.000 | 9.5100
 8 | tallBldg.obj            | 1070.0 | 200.00 | 300.00
 9 | waterTower.obj          | 32.060 | 26.041 | 26.041
10 | arrow.obj               | 1.2500 | 6.2370 | 4.8110
11 | capitolRecordsBldg.obj  | 165.50 | 70.476 | 70.476
12 | topHatChar.obj          | 10.892 | 3.9530 | 7.9520
13 | wall.obj                | 15.000 | 1.0000 | 10.000
14 | sidewalkCorner.obj      | 0.9720 | 5.0000 | 5.0000
15 | doubleBoxBldg.obj       | 80.000 | 70.000 | 100.00
16 | flag.obj                | 10.000 | 0.7940 | 6.9090
17 | simpleCRBldg.obj        | 165.75 | 60.000 | 60.000
18 | gasStation.obj          | 34.113 | 50.000 | 50.000
19 | mart.obj                | 40.000 | 60.450 | 60.000
20 | halfSlab.obj            | 1.0000 | 5.0000 | 5.0000
21 | asymBldg.obj            | 500.00 | 140.00 | 140.00
22 | pointyBldg.obj          | 825.00 | 150.00 | 150.00
23 | 
